,prev_text,target_text,next_text,label
0,One is called Carbon Engineering.,They're based out of Canada.,"They use a liquid-based approach for separation combined with burning super-abundant, cheap natural gas to supply the heat required.",0
1,"My doctor turned serious and he looked at me and said, ""Travis, that's a lot of opioids.","You need to think about getting off the meds now.""","In two months of escalating prescriptions, this was the first time that anyone had expressed concern.",1
2,"We're leaving that culture, we're out of there.","We're going to get so good at paying creators, within 10 years, kids graduating high school and college are going to think of being a creator as just being an option -- I could be a doctor, I could be a lawyer, I could be a podcaster, I could have a web comic.",It's just going to be something you can do.,1
3,This is not true.,"What is rewarding about helping is knowing that your help landed, that it had impact, that you were effective.","If I have no idea how my help affected you, how am I supposed to feel about it?",1
4,"Instead of looking for reasons out there, we should be looking for reasons in here:",Who am I to be?,"You might decide to be a pink sock-wearing, cereal-loving, country-living banker, and I might decide to be a black sock-wearing, urban, donut-loving artist.",0
5,,Theater matters because democracy matters.,"Theater is the essential art form of democracy, and we know this because they were born in the same city.",1
6,"They're big, hot planets that are easy to see.","We're not ready, we don't have the right technology yet to study small exoplanets.","But nevertheless, I wanted to try to explain to you how we study exoplanet atmospheres.",1
7,"And in that same decade, somebody -- legend has it, somebody named Thespis -- invented the idea of dialogue.","What does that mean, to invent dialogue?","Well, we know that the Festival of Dionysus gathered the entire citizenry of Athens on the side of the Acropolis, and they would listen to music, they would watch dancing, and they would have stories told as part of the Festival of Dionysus.",0
8,"We have to socialize our girls to be comfortable with imperfection, and we've got to do it now.",We cannot wait for them to learn how to be brave like I did when I was 33 years old.,"We have to teach them to be brave in schools and early in their careers, when it has the most potential to impact their lives and the lives of others, and we have to show them that they will be loved and accepted not for being perfect but for being courageous.",1
9,A world full of only easy choices would enslave us to reasons.,"When you think about it,","it's nuts to believe that the reasons given to you dictated that you had most reason to pursue the exact hobbies you do, to live in the exact house you do, to work at the exact job you do.",0
10,She found that bright girls were quick to give up.,"The higher the IQ, the more likely they were to give up.","Bright boys, on the other hand, found the difficult material to be a challenge.",1
11,We need to meet them where they are.,We need to put ourselves into boy culture.,We need to change the mindset of acceptance in boys in elementary schools.,1
12,"And one day they featured a video of my band on the homepage, which was amazing -- we got a bunch of new fans.","We also got a bunch of people who, I guess, just didn't really like the music or something --","It's OK because people started coming to our shows, and we started touring, and we came out with a record.",1
13,They get pictures.,They get to know that they made a difference.,"And this is something we need to all be doing in our everyday lives, especially if we want people to continue to give us help over the long term.",1
14,"When states face each other, China and the U.S., they face each other like this.","When cities interact, they interact like this.","China and the U.S., despite the recent meta-meeting in California, are locked in all kinds of anger, resentment, and rivalry for number one.",0
15,"And I thought, if I'm going to make a story, what's the last thing I'm going to put in there?","Well, what would a Tudor gentleman be preoccupied with?","And I thought, well, Henry VIII, okay.",1
16,Right?,You'd never want to play.,"So I've been talking about this, suggesting, perhaps, that mind-wandering causes unhappiness, but all I've really shown you is that these two things are correlated.",1
17,"If before I was resisting, then now I was surrendering, giving up trying to control the uncontrollable and just being there in it with her.","Time slowed down, and the date was irrelevant.",We developed a routine.,1
18,The result is that I was launched into acute opioid withdrawal.,"The result, put another way, was hell.",The early stages of withdrawal feel a lot like a bad case of the flu.,1
19,"To be sure that this new economy benefits us all and not just the plutocrats, we need to embark on an era of comparably ambitious social and political change.",We need a new New Deal.,,1
20,And so this is a very serious problem.,Where is it coming from?,It's coming from us.,0
21,What's going on?,"Well, at the fifth grade level, girls routinely outperform boys in every subject, including math and science, so it's not a question of ability.",The difference is in how boys and girls approach a challenge.,1
22,"OK, second tip.","This is really important: please avoid disclaimers, apologies and bribes.","Really, really important.",1
23,Why are we here?,Why does our universe exist?,How did Earth form and evolve?,0
24,President Barack Obama said that.,Why do I know it by heart?,Because he said it to me.,0
25,"Years of research in Redding, Pennsylvania led her to write this play about the deindustrialization of Pennsylvania: what happened when steel left, the rage that was unleashed, the tensions that were unleashed, the racism that was unleashed by the loss of jobs.","We're taking that play and we're touring it to rural counties in Pennsylvania, Ohio, Michigan, Minnesota and Wisconsin.","We're partnering with community organizations there to try and make sure not only that we reach the people that we're trying to reach, but that we find ways to listen to them back and say, ""The culture is here for you, too.""",0
26,"Time slowed down, and the date was irrelevant.",We developed a routine.,Early each morning I would crawl into bed with her and sleep with her.,1
27,"But because he was born in the prison, everybody loved him, including the guards, so he was the only one who was allowed to come in and out of the bars.","So, you know, there's bars.","And by the time that Vishna was getting bigger, which means what gets bigger?",0
28,And I've never met him.,"We've only communicated via this telepresence system, which always makes me think of him as the man inside the Internet.",And he is English.,0
29,"Within a few years, we found the gene.",We patented it so that it would be freely available.,We created a diagnostic test.,1
