Text_ID,Sentence_ID,Sentence,Evaluative,Affect,Judgement,Appreciation
Art5.,S6,"Yes, eight kids in my family.",1,,,1
Art5.,S120,"When the idea hit me of how to do this, I got kind of nauseous and dizzy, which is really just adrenaline, probably, but for me it's a really good sign.",1,1,,1
Art5.,S51,"When she told me this, I fell to my knees.",1,1,,
Art5.,S131,"We're going to lose our health, people we love.",1,1,,
Art5.,S130,"We're all going to have big losses in our lives, maybe a job or a career, relationships, love, our youth.",1,1,,
Art5.,S77,We had warm towels and slippers ready immediately so she never got cold for a second.,1,,,1
Art5.,S10,"We had a regular car, too.",0,,,
Art5.,S69,We developed a routine.,1,,1,
Art5.,S84,"We called this time ""the beautiful awful.""",1,,,1
Art5.,S57,We all did.,0,,,
Art5.,S5,"To give you some background on me, I grew up the youngest of eight.",0,,,
Art5.,S8,"To give you a sense of what that's like, when my family went on vacation, we had a bus.",1,,,1
Art5.,S68,"Time slowed down, and the date was irrelevant.",1,,,1
Art5.,S30,This was the place where I was isolated and in total control.,1,1,,
Art5.,S91,This was the most important thing. It was what I always wanted.,1,1,,1
Art5.,S109,This is the one with all the bugs in it.,1,,,1
Art5.,S113,This is another one from the woods.,1,,,1
Art5.,S54,This is about figuring out how to help her.,1,,1,
Art5.,S133,"They're unpredictable, and they bring us to our knees.",1,1,1,
Art5.,S82,"These simple daily activities became our sacred ritual, and we repeated them day after day as the cancer grew.",1,,,1
Art6.,S34,"You're disappointed immediately, because whether you knew it or not, you were coming to that theater to be part of an audience.",1,1,,1
Art6.,S35,"You were coming to have the collective experience of laughing together, crying together, holding your breath together to see what's going to happen next.",1,1,,
Art6.,S36,"You may have walked into that theater as an individual consumer, but if the theater does its job, you've walked out with a sense of yourself as part of a whole, as part of a community.",1,1,,1
Art6.,S32,"You can spread out, put your legs over the top of the stadium seats, eat your popcorn and just enjoy it.",1,1,,
Art6.,S88,"Years of research in Redding, Pennsylvania led her to write this play about the deindustrialization of Pennsylvania: what happened when steel left, the rage that was unleashed, the tensions that were unleashed, the racism that was unleashed by the loss of jobs.",1,1,,1
Art6.,S54,"When I took over Joe's old job at the Public in 2005, I realized one of the problems we had was a victim of our own success, which is:",1,,1,
Art6.,S23,What's the other thing that's happening?,0,,,
Art6.,S57,What was that doing?,0,,,
Art6.,S29,What else happens?,0,,,
Art6.,S6,"What does that mean, to invent dialogue?",0,,,
Art6.,S89,"We're taking that play and we're touring it to rural counties in Pennsylvania, Ohio, Michigan, Minnesota and Wisconsin.",0,,,
Art6.,S90,"We're partnering with community organizations there to try and make sure not only that we reach the people that we're trying to reach, but that we find ways to listen to them back and say, ""The culture is here for you, too.""",0,,,
Art6.,S7,"Well, we know that the Festival of Dionysus gathered the entire citizenry of Athens on the side of the Acropolis, and they would listen to music, they would watch dancing, and they would have stories told as part of the Festival of Dionysus.",0,,,
Art6.,S85,"We in the culture have done exactly what the economy, what the educational system, what technology has done, which is turn our back on a large part of the country.",1,,1,
Art6.,S43,We had to actually let the people create their own classics and take the stage.,0,,,
Art6.,S38,"Twenty-five hundred years later, Joe Papp decided that the culture should belong to everybody in the United States of America, and that it was his job to try to deliver on that promise.",0,,,
Art6.,S83,They weren't boycotting us; we had boycotted them.,1,,1,
Art6.,S17,There's a conflict between two points of view.,0,,,
Art6.,S1,Theater matters because democracy matters.,1,,,1
Art6.,S2,"Theater is the essential art form of democracy, and we know this because they were born in the same city.",1,,,1
Bus11.,S72,Zhuomani instead of Armani.,0,,,
Bus11.,S70,"You know, China has no — no intellectual property, right?",0,,,
Bus11.,S75,"You can buy pirated DVDs, of course.",0,,,
Bus11.,S76,You can buy New York Yankees caps in all sorts of unauthorized patterns.,1,,,1
Bus11.,S77,"You can buy cuecas baratas, designer underwear that isn't really manufactured by a designer, and even pirated evangelical mixtapes.",1,,1,1
Bus11.,S74,You can buy cloned cologne.,1,,,1
Bus11.,S31,We're all focusing on — this is a statistic from earlier this month in the Financial Times — we're all focusing on the luxury economy.,1,,,1
Bus11.,S61,"Well, they come from here.",0,,,
Bus11.,S38,"Well, it means if it were united in a single political system, one country, call it ""The United Street Sellers Republic,"" the U.S.S.R., or ""Bazaaristan,"" it would be worth 10 trillion dollars every year, and that would make it the second largest economy in the world, after the United States.",1,,1,
Bus11.,S69,"Well, I guess.",0,,,
Bus11.,S49,"We want our products in that store.""",1,1,,
Bus11.,S57,We only sell you airtime.,0,,,
Bus11.,S56,"We don't sell you the phone, we don't sell you the monthly plan.",0,,,
Bus11.,S71,Versace without the vowels.,0,,,
Bus11.,S43,UAC foods has recognized that it won't sell if it's in stores.,0,,,
Bus11.,S30,This is the pickle economy.,0,,,
Bus11.,S4,"This is the boat that that lady was paddling around in, and this artisan makes the boat and the paddles and sells directly to the people who need the boat and the paddles.",0,,,
Bus11.,S15,This is Oshodi Market in Lagos.,0,,,
Bus11.,S10,"This is Olusosun dump, the largest garbage dump in Lagos, and 2,000 people work here, and I found this out from this fellow, Andrew Saboru.",1,,,1
Bus11.,S62,"This is in Guangzhou, China, and if you go upstairs in this rather sleepy looking electronics mall, you find the Guangzhou Dashatou second-hand trade center, and if you go in there, you follow the guys with the muscles who are carrying the boxes, and where are they going?",1,,,1
Bus14.,S17,You didn't even need to be a billionaire to get on that list in 1992.,1,,1,
Bus14.,S88,When's the last time you used a travel agent?,0,,,
Bus14.,S28,"What's driving it, and what can we do about it?",0,,,
Bus14.,S98,What worries me more is a different nightmare scenario.,1,1,,
Bus14.,S5,"We're even seeing it in cozy social democracies like Sweden, Finland and Germany.",1,,1,
Bus14.,S18,"Well, today, that figure has more than quintupled to 1.7 trillion, and I probably don't need to tell you that we haven't seen anything similar happen to the middle class, whose wealth has stagnated if not actually decreased.",1,,1,
Bus14.,S65,"Well, a few things.",0,,,
