,Text_ID,Sentence_ID,Sentence,Evaluative,Affect,Judgement,Appreciation,Ambiguous,binary,binary_justification,binary_evidence_span,multiclass_label,multiclass_probability_affect,multiclass_probability_judgment,multiclass_probability_appreciation,multiclass_spans,multiclass_explanation,binary_raw_output,multiclass_raw_output,Source_File
0,Art5.,S6,"Yes, eight kids in my family.",1,0.0,0.0,1.0,0,0.0,"The TARGET text is purely factual, providing information about the number of siblings.",0,0,0.0,0.0,0.0,0,0,"{
  ""binary"": 0,
  ""label"": ""no_eval"",
  ""justification"": ""The TARGET text is purely factual, providing information about the number of siblings."",
  ""evidence_span"": """"
}",0,mistral-large-instruct/Art5_classified.xlsx
1,Art5.,S120,"When the idea hit me of how to do this, I got kind of nauseous and dizzy, which is really just adrenaline, probably, but for me it's a really good sign.",1,1.0,0.0,1.0,1,1.0,The TARGET text expresses an emotional reaction.,I got kind of nauseous and dizzy,affect,0.9,0.05,0.05,got kind of nauseous and dizzy ||| which is really just adrenaline ||| for me it's a really good sign,"The text describes emotional responses and feelings, indicating affect as the primary category.","{
  ""binary"": 1,
  ""label"": ""eval"",
  ""justification"": ""The TARGET text expresses an emotional reaction."",
  ""evidence_span"": ""I got kind of nauseous and dizzy""
}","{
  ""label"": ""affect"",
  ""affect"": 1,
  ""judgment"": 0,
  ""appreciation"": 0,
  ""probability_affect"": 0.90,
  ""probability_judgment"": 0.05,
  ""probability_appreciation"": 0.05,
  ""top_spans"": [""got kind of nauseous and dizzy"", ""which is really just adrenaline"", ""for me it's a really good sign""],
  ""explanation"": ""The text describes emotional responses and feelings, indicating affect as the primary category.""
}",mistral-large-instruct/Art5_classified.xlsx
2,Art5.,S51,"When she told me this, I fell to my knees.",1,1.0,0.0,0.0,0,1.0,The TARGET text expresses an emotional reaction.,I fell to my knees.,affect,0.95,0.05,0.0,I fell to my knees,"The text expresses a strong emotional reaction, indicating affect as the primary category.","{
  ""binary"": 1,
  ""label"": ""eval"",
  ""justification"": ""The TARGET text expresses an emotional reaction."",
  ""evidence_span"": ""I fell to my knees.""
}","{
  ""label"": ""affect"",
  ""affect"": 1,
  ""judgment"": 0,
  ""appreciation"": 0,
  ""probability_affect"": 0.95,
  ""probability_judgment"": 0.05,
  ""probability_appreciation"": 0.0,
  ""top_spans"": [""I fell to my knees""],
  ""explanation"": ""The text expresses a strong emotional reaction, indicating affect as the primary category.""
}",mistral-large-instruct/Art5_classified.xlsx
3,Art5.,S131,"We're going to lose our health, people we love.",1,1.0,0.0,0.0,0,1.0,The TARGET text expresses a negative emotional stance through the mention of losses.,"We're going to lose our health, people we love.",affect,0.9,0.05,0.05,We're going to lose our health ||| people we love,"The text expresses feelings of loss and emotional impact, which are related to affect.","{
  ""binary"": 1,
  ""label"": ""eval"",
  ""justification"": ""The TARGET text expresses a negative emotional stance through the mention of losses."",
  ""evidence_span"": ""We're going to lose our health, people we love.""
}","{
  ""label"": ""affect"",
  ""affect"": 1,
  ""judgment"": 0,
  ""appreciation"": 0,
  ""probability_affect"": 0.90,
  ""probability_judgment"": 0.05,
  ""probability_appreciation"": 0.05,
  ""top_spans"": [""We're going to lose our health"", ""people we love""],
  ""explanation"": ""The text expresses feelings of loss and emotional impact, which are related to affect.""
}",mistral-large-instruct/Art5_classified.xlsx
4,Art5.,S130,"We're all going to have big losses in our lives, maybe a job or a career, relationships, love, our youth.",1,1.0,0.0,0.0,0,1.0,"The text expresses a judgment of life events as losses, which is evaluative.",big losses in our lives,affect,0.9,0.05,0.05,big losses in our lives ||| lose our health ||| people we love,"The text discusses emotional experiences and losses, which are expressions of feelings/emotions, making affect the primary category.","{
  ""binary"": 1,
  ""label"": ""eval"",
  ""justification"": ""The text expresses a judgment of life events as losses, which is evaluative."",
  ""evidence_span"": ""big losses in our lives""
}","{
  ""label"": ""affect"",
  ""affect"": 1,
  ""judgment"": 0,
  ""appreciation"": 0,
  ""probability_affect"": 0.90,
  ""probability_judgment"": 0.05,
  ""probability_appreciation"": 0.05,
  ""top_spans"": [""big losses in our lives"", ""lose our health"", ""people we love""],
  ""explanation"": ""The text discusses emotional experiences and losses, which are expressions of feelings/emotions, making affect the primary category.""
}",mistral-large-instruct/Art5_classified.xlsx
5,Art5.,S77,We had warm towels and slippers ready immediately so she never got cold for a second.,1,0.0,0.0,1.0,0,1.0,"The text describes a positive experience with warm towels and slippers, indicating an evaluation of the service.",warm towels and slippers ready immediately so she never got cold for a second,appreciation,0.1,0.1,0.8,warm towels and slippers ready immediately ||| never got cold for a second,"The text evaluates the quality and value of the service provided, so appreciation is primary.","{
  ""binary"": 1,
  ""label"": ""eval"",
  ""justification"": ""The text describes a positive experience with warm towels and slippers, indicating an evaluation of the service."",
  ""evidence_span"": ""warm towels and slippers ready immediately so she never got cold for a second""
}","{
  ""label"": ""appreciation"",
  ""affect"": 0,
  ""judgment"": 0,
  ""appreciation"": 1,
  ""probability_affect"": 0.10,
  ""probability_judgment"": 0.10,
  ""probability_appreciation"": 0.80,
  ""top_spans"": [""warm towels and slippers ready immediately"", ""never got cold for a second""],
  ""explanation"": ""The text evaluates the quality and value of the service provided, so appreciation is primary.""
}",mistral-large-instruct/Art5_classified.xlsx
6,Art5.,S10,"We had a regular car, too.",0,0.0,0.0,0.0,0,0.0,"The TARGET text is purely factual and descriptive, with no emotional stance, judgment, or quality evaluation.",0,0,0.0,0.0,0.0,0,0,"{
  ""binary"": 0,
  ""label"": ""no_eval"",
  ""justification"": ""The TARGET text is purely factual and descriptive, with no emotional stance, judgment, or quality evaluation."",
  ""evidence_span"": """"
}",0,mistral-large-instruct/Art5_classified.xlsx
7,Art5.,S69,We developed a routine.,1,0.0,1.0,0.0,0,0.0,"The TARGET text is purely factual and descriptive, with no emotional stance, judgment, or evaluation.",0,0,0.0,0.0,0.0,0,0,"{
  ""binary"": 0,
  ""label"": ""no_eval"",
  ""justification"": ""The TARGET text is purely factual and descriptive, with no emotional stance, judgment, or evaluation."",
  ""evidence_span"": """"
}",0,mistral-large-instruct/Art5_classified.xlsx
8,Art5.,S84,"We called this time ""the beautiful awful.""",1,0.0,0.0,1.0,0,1.0,The phrase 'beautiful awful' expresses an aesthetic and emotional evaluation.,the beautiful awful,affect,0.9,0.05,0.05,the beautiful awful,"The phrase 'the beautiful awful' expresses a mix of positive and negative emotions, indicating affect as the primary category.","{
  ""binary"": 1,
  ""label"": ""eval"",
  ""justification"": ""The phrase 'beautiful awful' expresses an aesthetic and emotional evaluation."",
  ""evidence_span"": ""the beautiful awful""
}","{
  ""label"": ""affect"",
  ""affect"": 1,
  ""judgment"": 0,
  ""appreciation"": 0,
  ""probability_affect"": 0.90,
  ""probability_judgment"": 0.05,
  ""probability_appreciation"": 0.05,
  ""top_spans"": [""the beautiful awful""],
  ""explanation"": ""The phrase 'the beautiful awful' expresses a mix of positive and negative emotions, indicating affect as the primary category.""
}",mistral-large-instruct/Art5_classified.xlsx
9,Art5.,S57,We all did.,0,0.0,0.0,0.0,0,0.0,"The TARGET text is purely factual and descriptive, with no clear emotional stance, judgment, or quality evaluation.",0,0,0.0,0.0,0.0,0,0,"{
  ""binary"": 0,
  ""label"": ""no_eval"",
  ""justification"": ""The TARGET text is purely factual and descriptive, with no clear emotional stance, judgment, or quality evaluation."",
  ""evidence_span"": """"
}",0,mistral-large-instruct/Art5_classified.xlsx
