,Text_ID,Sentence_ID,Sentence,Evaluative,Affect,Judgement,Appreciation,Ambiguous,binary,binary_justification,binary_evidence_span,multiclass_label,multiclass_probability_affect,multiclass_probability_judgment,multiclass_probability_appreciation,multiclass_spans,multiclass_explanation,binary_raw_output,multiclass_raw_output,Source_File
0,Art5.,S6,"Yes, eight kids in my family.",1,,,1.0,0,0.0,purely factual statement,,,,,,,,"{""binary"": 0, ""label"": ""no_eval"", ""justification"": ""purely factual statement"", ""evidence_span"": """"}",,llama-3.3-70b-instruct/Art5_classified.xlsx
1,Art5.,S120,"When the idea hit me of how to do this, I got kind of nauseous and dizzy, which is really just adrenaline, probably, but for me it's a really good sign.",1,1.0,,1.0,1,1.0,expresses emotional reaction,I got kind of nauseous and dizzy,affect,0.9,0.05,0.05,got kind of nauseous and dizzy ||| it's a really good sign,"Expresses feelings/emotions, so affect is primary.","{""binary"": 1, ""label"": ""eval"", ""justification"": ""expresses emotional reaction"", ""evidence_span"": ""I got kind of nauseous and dizzy""}","{
  ""label"": ""affect"",
  ""affect"": 1,
  ""judgment"": 0,
  ""appreciation"": 0,
  ""probability_affect"": 0.9,
  ""probability_judgment"": 0.05,
  ""probability_appreciation"": 0.05,
  ""top_spans"": [""got kind of nauseous and dizzy"", ""it's a really good sign""],
  ""explanation"": ""Expresses feelings/emotions, so affect is primary.""
}",llama-3.3-70b-instruct/Art5_classified.xlsx
2,Art5.,S51,"When she told me this, I fell to my knees.",1,1.0,,,0,1.0,emotional reaction,I fell to my knees,affect,0.9,0.05,0.05,I fell to my knees,"Expresses a strong emotional response, so affect is primary.","{""binary"": 1, ""label"": ""eval"", ""justification"": ""emotional reaction"", ""evidence_span"": ""I fell to my knees""}","{
  ""label"": ""affect"",
  ""affect"": 1,
  ""judgment"": 0,
  ""appreciation"": 0,
  ""probability_affect"": 0.9,
  ""probability_judgment"": 0.05,
  ""probability_appreciation"": 0.05,
  ""top_spans"": [""I fell to my knees""],
  ""explanation"": ""Expresses a strong emotional response, so affect is primary.""
}",llama-3.3-70b-instruct/Art5_classified.xlsx
3,Art5.,S131,"We're going to lose our health, people we love.",1,1.0,,,0,1.0,Expresses emotional loss and love,people we love,affect,0.8,0.1,0.1,lose our health ||| people we love,"Expresses feelings of loss and sadness, so affect is primary.","{
  ""binary"": 1,
  ""label"": ""eval"",
  ""justification"": ""Expresses emotional loss and love"",
  ""evidence_span"": ""people we love""
}","{
  ""label"": ""affect"",
  ""affect"": 1,
  ""judgment"": 0,
  ""appreciation"": 0,
  ""probability_affect"": 0.8,
  ""probability_judgment"": 0.1,
  ""probability_appreciation"": 0.1,
  ""top_spans"": [""lose our health"", ""people we love""],
  ""explanation"": ""Expresses feelings of loss and sadness, so affect is primary.""
}",llama-3.3-70b-instruct/Art5_classified.xlsx
4,Art5.,S130,"We're all going to have big losses in our lives, maybe a job or a career, relationships, love, our youth.",1,1.0,,,0,1.0,expression of inevitable loss,big losses,affect,0.8,0.1,0.1,big losses in our lives ||| love ||| our youth,"Expresses feelings of loss and sadness, so affect is primary.","{""binary"": 1, ""label"": ""eval"", ""justification"": ""expression of inevitable loss"", ""evidence_span"": ""big losses""}","{
  ""label"": ""affect"",
  ""affect"": 1,
  ""judgment"": 0,
  ""appreciation"": 0,
  ""probability_affect"": 0.8,
  ""probability_judgment"": 0.1,
  ""probability_appreciation"": 0.1,
  ""top_spans"": [""big losses in our lives"", ""love"", ""our youth""],
  ""explanation"": ""Expresses feelings of loss and sadness, so affect is primary.""
}",llama-3.3-70b-instruct/Art5_classified.xlsx
5,Art5.,S77,We had warm towels and slippers ready immediately so she never got cold for a second.,1,,,1.0,0,1.0,implying care and comfort,warm towels and slippers ready immediately,appreciation,0.05,0.1,0.85,warm towels and slippers ready immediately,"Evaluates quality of care, so appreciation is primary.","{""binary"": 1, ""label"": ""eval"", ""justification"": ""implying care and comfort"", ""evidence_span"": ""warm towels and slippers ready immediately""}","{
  ""label"": ""appreciation"",
  ""affect"": 0,
  ""judgment"": 0,
  ""appreciation"": 1,
  ""probability_affect"": 0.05,
  ""probability_judgment"": 0.10,
  ""probability_appreciation"": 0.85,
  ""top_spans"": [""warm towels and slippers ready immediately""],
  ""explanation"": ""Evaluates quality of care, so appreciation is primary.""
}",llama-3.3-70b-instruct/Art5_classified.xlsx
6,Art5.,S10,"We had a regular car, too.",0,,,,0,0.0,purely factual statement,,,,,,,,"{""binary"": 0, ""label"": ""no_eval"", ""justification"": ""purely factual statement"", ""evidence_span"": """"}",,llama-3.3-70b-instruct/Art5_classified.xlsx
7,Art5.,S69,We developed a routine.,1,,1.0,,0,0.0,Purely factual statement about developing a routine.,,,,,,,,"{
  ""binary"": 0,
  ""label"": ""no_eval"",
  ""justification"": ""Purely factual statement about developing a routine."",
  ""evidence_span"": """"
}",,llama-3.3-70b-instruct/Art5_classified.xlsx
8,Art5.,S84,"We called this time ""the beautiful awful.""",1,,,1.0,0,1.0,oxymoronic phrase evaluates experience,the beautiful awful,appreciation,0.4,0.0,0.6,the beautiful awful,"Evaluates a phenomenon with mixed qualities, so appreciation is primary.","{
  ""binary"": 1,
  ""label"": ""eval"",
  ""justification"": ""oxymoronic phrase evaluates experience"",
  ""evidence_span"": ""the beautiful awful""
}","{
  ""label"": ""appreciation"",
  ""affect"": 1,
  ""judgment"": 0,
  ""appreciation"": 1,
  ""probability_affect"": 0.4,
  ""probability_judgment"": 0.0,
  ""probability_appreciation"": 0.6,
  ""top_spans"": [""the beautiful awful""],
  ""explanation"": ""Evaluates a phenomenon with mixed qualities, so appreciation is primary.""
}",llama-3.3-70b-instruct/Art5_classified.xlsx
9,Art5.,S57,We all did.,0,,,,0,0.0,neutral statement of fact,,,,,,,,"{""binary"": 0, ""label"": ""no_eval"", ""justification"": ""neutral statement of fact"", ""evidence_span"": """"}",,llama-3.3-70b-instruct/Art5_classified.xlsx
