,Text_ID,Sentence_ID,Sentence,Evaluative,Affect,Judgement,Appreciation,Ambiguous,binary,binary_justification,binary_evidence_span,multiclass_label,multiclass_probability_affect,multiclass_probability_judgment,multiclass_probability_appreciation,multiclass_spans,multiclass_explanation,binary_raw_output,multiclass_raw_output,Source_File
0,Art5.,S6,"Yes, eight kids in my family.",1,,,1.0,0,0.0,"The TARGET text is a factual statement confirming the number of siblings, with no emotional expression, judgment, or value evaluation.",,,,,,,,"{
  ""binary"": 0,
  ""label"": ""no_eval"",
  ""justification"": ""The TARGET text is a factual statement confirming the number of siblings, with no emotional expression, judgment, or value evaluation."",
  ""evidence_span"": """"
}",,qwen3-30b-a3b-instruct-2507/Art5_classified.xlsx
1,Art5.,S120,"When the idea hit me of how to do this, I got kind of nauseous and dizzy, which is really just adrenaline, probably, but for me it's a really good sign.",1,1.0,,1.0,1,1.0,"The TARGET expresses a personal emotional reaction (nauseous, dizzy) and interprets it as a positive sign, indicating an evaluative stance toward the creative experience.","I got kind of nauseous and dizzy, which is really just adrenaline, probably, but for me it's a really good sign.",affect,0.95,0.1,0.05,I got kind of nauseous and dizzy ||| which is really just adrenaline ||| for me it's a really good sign,"The TARGET expresses physical and emotional reactions (nausea, dizziness) linked to excitement, aligning with Affect. The speaker interprets these sensations as adrenaline, framing them as a positive emotional response. While 'good sign' could imply appreciation, the primary focus is on bodily and emotional states, fitting Affect. No evaluation of character (Judgment) or object quality (Appreciation) is present.","{
  ""binary"": 1,
  ""label"": ""eval"",
  ""justification"": ""The TARGET expresses a personal emotional reaction (nauseous, dizzy) and interprets it as a positive sign, indicating an evaluative stance toward the creative experience."",
  ""evidence_span"": ""I got kind of nauseous and dizzy, which is really just adrenaline, probably, but for me it's a really good sign.""
}","{
  ""label"": ""affect"",
  ""affect"": 1,
  ""judgment"": 0,
  ""appreciation"": 0,
  ""probability_affect"": 0.95,
  ""probability_judgment"": 0.10,
  ""probability_appreciation"": 0.05,
  ""top_spans"": [
    ""I got kind of nauseous and dizzy"",
    ""which is really just adrenaline"",
    ""for me it's a really good sign""
  ],
  ""explanation"": ""The TARGET expresses physical and emotional reactions (nausea, dizziness) linked to excitement, aligning with Affect. The speaker interprets these sensations as adrenaline, framing them as a positive emotional response. While 'good sign' could imply appreciation, the primary focus is on bodily and emotional states, fitting Affect. No evaluation of character (Judgment) or object quality (Appreciation) is present.""
}",qwen3-30b-a3b-instruct-2507/Art5_classified.xlsx
2,Art5.,S51,"When she told me this, I fell to my knees.",1,1.0,,,0,1.0,"The statement expresses a strong emotional reaction, indicating deep personal distress or shock, which constitutes an evaluative emotional response.",I fell to my knees,affect,0.95,0.1,0.05,I fell to my knees ||| I totally lost it,"The TARGET expresses a strong emotional reaction (falling to knees) consistent with Affect, as defined by emotional states and reactions. The context (NEXT) reinforces this with 'I totally lost it,' indicating overwhelming emotion. No evaluation of character (Judgment) or object quality (Appreciation) is present. The response is purely affective.","{
  ""binary"": 1,
  ""label"": ""eval"",
  ""justification"": ""The statement expresses a strong emotional reaction, indicating deep personal distress or shock, which constitutes an evaluative emotional response."",
  ""evidence_span"": ""I fell to my knees""
}","{
  ""label"": ""affect"",
  ""affect"": 1,
  ""judgment"": 0,
  ""appreciation"": 0,
  ""probability_affect"": 0.95,
  ""probability_judgment"": 0.10,
  ""probability_appreciation"": 0.05,
  ""top_spans"": [
    ""I fell to my knees"",
    ""I totally lost it""
  ],
  ""explanation"": ""The TARGET expresses a strong emotional reaction (falling to knees) consistent with Affect, as defined by emotional states and reactions. The context (NEXT) reinforces this with 'I totally lost it,' indicating overwhelming emotion. No evaluation of character (Judgment) or object quality (Appreciation) is present. The response is purely affective.""
}",qwen3-30b-a3b-instruct-2507/Art5_classified.xlsx
3,Art5.,S131,"We're going to lose our health, people we love.",1,1.0,,,0,1.0,"The statement expresses a negative emotional anticipation about losing health and loved ones, indicating a value judgment on the significance of these losses.","We're going to lose our health, people we love.",affect,0.95,0.1,0.05,We're going to lose our health ||| people we love,"The TARGET expresses emotional anticipation of personal loss, particularly health and loved ones, which aligns with Affect—emotional reactions to future events. The phrasing conveys vulnerability and distress, consistent with emotional states. No clear evaluation of character (Judgment) or objects/events (Appreciation) is present. Context supports emotional weight, not moral or aesthetic appraisal.","{
  ""binary"": 1,
  ""label"": ""eval"",
  ""justification"": ""The statement expresses a negative emotional anticipation about losing health and loved ones, indicating a value judgment on the significance of these losses."",
  ""evidence_span"": ""We're going to lose our health, people we love.""
}","{
  ""label"": ""affect"",
  ""affect"": 1,
  ""judgment"": 0,
  ""appreciation"": 0,
  ""probability_affect"": 0.95,
  ""probability_judgment"": 0.10,
  ""probability_appreciation"": 0.05,
  ""top_spans"": [
    ""We're going to lose our health"",
    ""people we love""
  ],
  ""explanation"": ""The TARGET expresses emotional anticipation of personal loss, particularly health and loved ones, which aligns with Affect—emotional reactions to future events. The phrasing conveys vulnerability and distress, consistent with emotional states. No clear evaluation of character (Judgment) or objects/events (Appreciation) is present. Context supports emotional weight, not moral or aesthetic appraisal.""
}",qwen3-30b-a3b-instruct-2507/Art5_classified.xlsx
4,Art5.,S130,"We're all going to have big losses in our lives, maybe a job or a career, relationships, love, our youth.",1,1.0,,,0,1.0,"The TARGET expresses a value-laden reflection on inevitable personal losses, implying emotional weight and significance, which constitutes a quality evaluation of life experiences.","We're all going to have big losses in our lives, maybe a job or a career, relationships, love, our youth.",affect,0.95,0.1,0.05,"We're all going to have big losses ||| relationships, love, our youth","The TARGET expresses emotional anticipation of personal loss, evoking sadness and vulnerability. The focus on irreversible life changes (loss of career, love, youth) aligns with Affect as it conveys emotional reaction to future events. No clear evaluation of character (Judgment) or object quality (Appreciation) is present.","{
  ""binary"": 1,
  ""label"": ""eval"",
  ""justification"": ""The TARGET expresses a value-laden reflection on inevitable personal losses, implying emotional weight and significance, which constitutes a quality evaluation of life experiences."",
  ""evidence_span"": ""We're all going to have big losses in our lives, maybe a job or a career, relationships, love, our youth.""
}","{
  ""label"": ""affect"",
  ""affect"": 1,
  ""judgment"": 0,
  ""appreciation"": 0,
  ""probability_affect"": 0.95,
  ""probability_judgment"": 0.10,
  ""probability_appreciation"": 0.05,
  ""top_spans"": [
    ""We're all going to have big losses"",
    ""relationships, love, our youth""
  ],
  ""explanation"": ""The TARGET expresses emotional anticipation of personal loss, evoking sadness and vulnerability. The focus on irreversible life changes (loss of career, love, youth) aligns with Affect as it conveys emotional reaction to future events. No clear evaluation of character (Judgment) or object quality (Appreciation) is present.""
}",qwen3-30b-a3b-instruct-2507/Art5_classified.xlsx
5,Art5.,S77,We had warm towels and slippers ready immediately so she never got cold for a second.,1,,,1.0,0,1.0,"The text expresses a positive evaluation of the care provided, emphasizing comfort and attentiveness through 'warm towels', 'slippers', and immediate action to prevent coldness.",We had warm towels and slippers ready immediately so she never got cold for a second.,appreciation,0.1,0.1,0.8,warm towels and slippers ready immediately ||| she never got cold for a second,"The text evaluates the quality and effectiveness of the care provided (warm towels, slippers, promptness), focusing on the outcome (no cold). This aligns with Appreciation, as it assesses the situation's value and design. No clear emotional reaction (Affect) or evaluation of character (Judgment) is present.","{
  ""binary"": 1,
  ""label"": ""eval"",
  ""justification"": ""The text expresses a positive evaluation of the care provided, emphasizing comfort and attentiveness through 'warm towels', 'slippers', and immediate action to prevent coldness."",
  ""evidence_span"": ""We had warm towels and slippers ready immediately so she never got cold for a second.""
}","{
  ""label"": ""appreciation"",
  ""affect"": 0,
  ""judgment"": 0,
  ""appreciation"": 1,
  ""probability_affect"": 0.1,
  ""probability_judgment"": 0.1,
  ""probability_appreciation"": 0.8,
  ""top_spans"": [
    ""warm towels and slippers ready immediately"",
    ""she never got cold for a second""
  ],
  ""explanation"": ""The text evaluates the quality and effectiveness of the care provided (warm towels, slippers, promptness), focusing on the outcome (no cold). This aligns with Appreciation, as it assesses the situation's value and design. No clear emotional reaction (Affect) or evaluation of character (Judgment) is present.""
}",qwen3-30b-a3b-instruct-2507/Art5_classified.xlsx
6,Art5.,S10,"We had a regular car, too.",0,,,,0,0.0,"The sentence states a factual detail about owning a regular car, without expressing emotion, judgment, or evaluation of quality or value.",,,,,,,,"{
  ""binary"": 0,
  ""label"": ""no_eval"",
  ""justification"": ""The sentence states a factual detail about owning a regular car, without expressing emotion, judgment, or evaluation of quality or value."",
  ""evidence_span"": """"
}",,qwen3-30b-a3b-instruct-2507/Art5_classified.xlsx
7,Art5.,S69,We developed a routine.,1,,1.0,,0,0.0,"The sentence describes a habitual action without expressing emotion, judgment, or value evaluation. It is a neutral, descriptive statement about developing a routine.",,,,,,,,"{
  ""binary"": 0,
  ""label"": ""no_eval"",
  ""justification"": ""The sentence describes a habitual action without expressing emotion, judgment, or value evaluation. It is a neutral, descriptive statement about developing a routine."",
  ""evidence_span"": """"
}",,qwen3-30b-a3b-instruct-2507/Art5_classified.xlsx
8,Art5.,S84,"We called this time ""the beautiful awful.""",1,,,1.0,0,1.0,"The phrase 'the beautiful awful' combines positive and negative evaluative terms, expressing a complex emotional judgment about a deeply personal experience.",the beautiful awful,ambiguous,0.6,0.5,0.7,beautiful ||| awful ||| the beautiful awful,"The phrase 'beautiful awful' expresses mixed emotional reaction (Affect), evaluates the experience as both positive and negative (Appreciation), and implies a moral or social judgment about its significance (Judgment). All three types are plausibly present, with no single one clearly dominant, hence ambiguous.","{
  ""binary"": 1,
  ""label"": ""eval"",
  ""justification"": ""The phrase 'the beautiful awful' combines positive and negative evaluative terms, expressing a complex emotional judgment about a deeply personal experience."",
  ""evidence_span"": ""the beautiful awful""
}","{
  ""label"": ""ambiguous"",
  ""affect"": 1,
  ""judgment"": 1,
  ""appreciation"": 1,
  ""probability_affect"": 0.6,
  ""probability_judgment"": 0.5,
  ""probability_appreciation"": 0.7,
  ""top_spans"": [
    ""beautiful"",
    ""awful"",
    ""the beautiful awful""
  ],
  ""explanation"": ""The phrase 'beautiful awful' expresses mixed emotional reaction (Affect), evaluates the experience as both positive and negative (Appreciation), and implies a moral or social judgment about its significance (Judgment). All three types are plausibly present, with no single one clearly dominant, hence ambiguous.""
}",qwen3-30b-a3b-instruct-2507/Art5_classified.xlsx
9,Art5.,S57,We all did.,0,,,,0,0.0,"The sentence is a neutral statement of shared action, expressing collective effort without emotional tone, judgment, or evaluation of quality or value.",,,,,,,,"{
  ""binary"": 0,
  ""label"": ""no_eval"",
  ""justification"": ""The sentence is a neutral statement of shared action, expressing collective effort without emotional tone, judgment, or evaluation of quality or value."",
  ""evidence_span"": """"
}",,qwen3-30b-a3b-instruct-2507/Art5_classified.xlsx
